domain,ok,n_pages,chars,reason
ugrch.org,1,5,80929,
ultradinero.mx,1,2,45309,
undigitomas.com,1,5,99020,
unicredik.com,1,1,10085,
unicredit.com.mx,1,6,14001,
unicredix.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
unificcom.com,1,4,14774,
unisofom.mx,1,3,11194,
unlimitleasing.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
urieos.com,1,1,43273,
usacredit.com.mx,1,1,19066,
va-financiera.mx,1,2,12825,
valuby.com.mx,1,5,45123,
value.com.mx,1,5,17249,
vammigrante.com,1,1,256,
vamosamejorar.com,1,1,10653,
vandelier.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
varodamx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
velocredito.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vemovilidad.com,1,1,19712,
vepormas.com,1,1,25774,
vercapital.mx,1,3,27403,
verticesoluciones.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
verticevillahermosa.com,1,3,45042,
vfcfinancial.com.mx,1,1,6472,
vfkfortalece.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vfmexico.net,1,6,49621,
vidafin.com,1,5,25758,
viena360.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vifin.mx,1,5,23476,
vigokapital.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vigorcapital.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vigoriscapital.com,1,2,10614,
vimifos.com,1,4,100890,
vinlasofom.com,1,3,8650,
vipoga.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
visetcertus.com,1,4,50907,
vitalprogreso.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
vivalia.mx,1,5,33334,
vivaz.mx,1,5,36776,
vivus.com.mx,1,4,60223,
volvofinancialservices.com,1,1,15538,
vorticecapital.com,1,1,7659,
vulturcapital.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
walmartmexico.com,1,6,51187,
watu.com,1,5,54621,
weblett.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
wecome.mx,1,6,46115,
wesharego.mx,1,4,12664,
wetopfinance.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
wisementpresta.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
wiserfinanciera.com,1,4,15870,
wiseyesofom.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
wolfmexico.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
workcap.com.mx,1,4,23821,
xavercapital.com,1,5,50480,
xcmgglobal.com,1,1,27622,
xepelin.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
ximple.co,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
xpread.mx,1,3,15989,
xrisolempresarial.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
xure.mx,1,5,55484,
yave.mx,1,1,20980,
yavocapital.com,1,1,317,
ydpay.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
yuhu.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
zendere.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
zonaplatamx.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
zumpt-sa.com,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
zuritaconsultores.com.mx,0,0,0,sin_contenido_util__escalar_a_capa_B_agentica
